  PID TTY      STAT   TIME COMMAND
  129 ?        S      0:00 [kworker/u8:3]
  130 ?        S      0:00 [scsi_eh_4]
  131 ?        S<     0:00 [scsi_tmf_4]
  134 ?        S      0:00 [kworker/2:1]
  136 ?        S      0:00 [scsi_eh_5]
  137 ?        S<     0:00 [scsi_tmf_5]
  138 ?        S<     0:00 [exec-osm]
  139 ?        S<     0:00 [block-osm]
  140 ?        S<     0:00 [raid5wq]
  141 ?        S<     0:00 [dm_bufio_cache]
  142 ?        SN     0:00 [speakup]
  143 ?        S<     0:00 [bioset]
  144 ?        S<     0:00 [deferwq]
  167 ?        S<     0:00 [kworker/3:1H]
  168 ?        S<     0:00 [kworker/1:1H]
  171 ?        S<     0:00 [kworker/2:1H]
  174 ?        S<     0:00 [kworker/0:1H]
  248 ?        S<     0:00 [loop0]
  256 ?        S<     0:00 [loop1]
  264 ?        S<     0:00 [loop2]
  272 ?        S<     0:00 [loop3]
  280 ?        S<     0:00 [loop4]
  288 ?        S<     0:00 [loop5]
  308 ?        Ssl    0:00 unionfs -o ro,allow_other,suid,dev,use_ino,cow,max_files=524288,chroot=/slroot /live/modules/06-live.slm=ro:/live/modules/05-kernel.slm=ro:/live/modules/04-common.slm=ro:/live/modules/03-full.slm=ro:/live/modules/02-basic.slm=ro:/live/modules/01-core.slm=ro /slroot/live/system
  320 ?        Ssl    0:18 unionfs -o allow_other,suid,dev,use_ino,cow,max_files=524288,chroot=/slroot /live/changes=rw:/live/modules/06-live.slm=ro:/live/modules/05-kernel.slm=ro:/live/modules/04-common.slm=ro:/live/modules/03-full.slm=ro:/live/modules/02-basic.slm=ro:/live/modules/01-core.slm=ro /slroot/live/union
  489 ?        Ss     0:00 /sbin/udevd --daemon
  504 ?        S      0:00 [kworker/2:2]
  578 ?        S      0:00 [kworker/3:2]
  608 ?        S<     0:00 [kpsmoused]
  609 ?        S<     0:00 [led_workqueue]
  611 ?        S<     0:00 [kvm-irqfd-clean]
  613 ?        S<     0:00 [hd-audio0]
  616 ?        S<     0:00 [hd-audio1]
  621 ?        S<     0:00 [ttm_swap]
  721 ?        Ss     0:00 /usr/sbin/syslogd
  725 ?        Ss     0:00 /usr/sbin/klogd -c 3 -x
  901 ?        S      0:00 [kworker/0:2]
 1012 ?        Ss     0:00 /usr/sbin/acpid
 1022 ?        Ss     0:00 /usr/bin/dbus-daemon --system
 1025 ?        Ssl    0:00 /usr/sbin/console-kit-daemon
 1029 ?        Ss     0:00 /usr/sbin/bluetoothd
 1034 ?        Ss     0:00 /usr/sbin/ntpd -g -U 180 -p /var/run/ntpd.pid
 1041 ?        S<     0:00 [ipv6_addrconf]
 1045 ?        S      0:00 /usr/sbin/ntpd -g -U 180 -p /var/run/ntpd.pid
 1115 ?        Sl     0:00 /usr/libexec/polkitd --no-debug
 1124 ?        Ss     0:00 /usr/sbin/cupsd -C /etc/cups/cupsd.conf
 1127 ?        Ss     0:00 /usr/sbin/crond -l notice
 1129 ?        Ss     0:00 /usr/sbin/atd -b 15 -l 1
 1142 tty1     Ss     0:00 -bash
 1143 tty2     Ss+    0:00 /sbin/agetty --noclear 38400 tty2 linux
 1144 tty3     Ss+    0:00 /sbin/agetty --noclear 38400 tty3 linux
 1217 ?        S      0:00 /usr/bin/python -O /usr/share/wicd/daemon/wicd-daemon.py
 1219 ?        S      0:00 /usr/bin/python -O /usr/share/wicd/daemon/monitor.py
 1287 ?        S      0:00 /sbin/udevd --daemon
 1308 ?        S      0:00 [jbd2/sda4-8]
 1309 ?        S<     0:00 [ext4-rsv-conver]
 1375 tty1     R+     0:00 ps -ax
